job_id,date,month,technician_id,technician_name,region,assigned_team,job_type,status,priority,dispatch_time_minutes,completion_time_minutes,first_time_fix,related_incident_id
JOB-2026-01796,2026-01-12,2026-01,TECH-025,Joko Z.,Yogyakarta,Enterprise Support,Preventive Maintenance,Open,Medium,94,,true,INC-2026-00432
JOB-2026-01216,2026-01-13,2026-01,TECH-010,Gita K.,Yogyakarta,Enterprise Support,Site Audit,Open,High,45,,false,INC-2026-01569
JOB-2026-01283,2026-01-13,2026-01,TECH-056,Gita E.,Yogyakarta,Field Operations,Preventive Maintenance,Resolved,High,68,232,false,INC-2026-01569
JOB-2026-01487,2026-01-13,2026-01,TECH-042,Eka Q.,Surabaya,Field Operations,Corrective Maintenance,Closed,High,44,135,false,INC-2026-00424
JOB-2026-00293,2026-01-14,2026-01,TECH-052,Eka A.,Surabaya,Fiber Maintenance,Preventive Maintenance,Open,Medium,104,,true,
JOB-2026-00420,2026-01-14,2026-01,TECH-051,Joko Z.,Surabaya,NOC Core,Site Audit,Resolved,Medium,111,440,true,
JOB-2026-00987,2026-01-14,2026-01,TECH-041,Kirana P.,Semarang,Fiber Maintenance,Site Audit,Closed,Low,167,390,true,
JOB-2026-01148,2026-01-14,2026-01,TECH-016,Lukman Q.,Balikpapan,NOC Core,Preventive Maintenance,Open,Low,202,,true,INC-2026-02098
JOB-2026-01535,2026-01-14,2026-01,TECH-056,Lukman E.,Makassar,Enterprise Support,Site Audit,Resolved,Medium,94,332,true,INC-2026-01757
JOB-2026-01601,2026-01-14,2026-01,TECH-003,Fajar D.,Balikpapan,Field Operations,Site Audit,Resolved,Medium,119,294,true,INC-2026-01496
JOB-2026-01250,2026-01-15,2026-01,TECH-044,Citra S.,Bandung,NOC Core,Preventive Maintenance,Closed,Medium,92,392,false,
JOB-2026-01390,2026-01-15,2026-01,TECH-013,Citra N.,Jakarta,Enterprise Support,Site Audit,Resolved,Critical,28,108,true,INC-2026-00824
JOB-2026-01789,2026-01-15,2026-01,TECH-005,Eka F.,Medan,NOC Core,Preventive Maintenance,Resolved,Low,217,477,false,
JOB-2026-00831,2026-01-16,2026-01,TECH-041,Kirana P.,Surabaya,Fiber Maintenance,Corrective Maintenance,Closed,Low,168,450,true,INC-2026-01835
JOB-2026-01321,2026-01-16,2026-01,TECH-012,Joko M.,Surabaya,Field Operations,Installation,Closed,Low,161,432,true,INC-2026-01835
JOB-2026-01522,2026-01-16,2026-01,TECH-053,Lukman B.,Denpasar,Customer Assurance,Installation,Resolved,Medium,103,291,false,
JOB-2026-01676,2026-01-16,2026-01,TECH-052,Adit A.,Jakarta,Customer Assurance,Installation,Open,High,36,,false,INC-2026-00942
JOB-2026-00002,2026-01-17,2026-01,TECH-027,Indra B.,Jakarta,Enterprise Support,Corrective Maintenance,Closed,High,55,198,false,
JOB-2026-00365,2026-01-17,2026-01,TECH-026,Fajar A.,Jakarta,Customer Assurance,Installation,Resolved,Medium,112,280,true,INC-2026-00059
JOB-2026-01276,2026-01-17,2026-01,TECH-028,Adit C.,Yogyakarta,Customer Assurance,Corrective Maintenance,Resolved,Medium,87,250,true,
JOB-2026-01498,2026-01-17,2026-01,TECH-059,Adit H.,Surabaya,Fiber Maintenance,Corrective Maintenance,Closed,Medium,126,248,true,
JOB-2026-01700,2026-01-17,2026-01,TECH-010,Citra K.,Surabaya,NOC Core,Preventive Maintenance,Resolved,Medium,62,266,false,INC-2026-00658
JOB-2026-01730,2026-01-17,2026-01,TECH-007,Kirana H.,Denpasar,Fiber Maintenance,Corrective Maintenance,In Progress,High,29,,false,INC-2026-00161
JOB-2026-00225,2026-01-18,2026-01,TECH-037,Indra L.,Medan,Enterprise Support,Site Audit,In Progress,Medium,84,,true,INC-2026-00524
JOB-2026-00227,2026-01-18,2026-01,TECH-040,Dewi O.,Jakarta,Fiber Maintenance,Installation,Closed,Low,193,461,true,INC-2026-01462
JOB-2026-01169,2026-01-18,2026-01,TECH-044,Kirana S.,Balikpapan,Customer Assurance,Corrective Maintenance,Closed,Medium,83,309,true,
JOB-2026-01172,2026-01-18,2026-01,TECH-026,Citra A.,Jakarta,Enterprise Support,Preventive Maintenance,Closed,Medium,117,297,true,INC-2026-01579
JOB-2026-01523,2026-01-18,2026-01,TECH-019,Gita T.,Jakarta,Enterprise Support,Corrective Maintenance,Resolved,Low,155,370,true,INC-2026-01462
JOB-2026-00121,2026-01-19,2026-01,TECH-041,Citra P.,Balikpapan,Enterprise Support,Site Audit,Resolved,Medium,76,359,true,
JOB-2026-00451,2026-01-19,2026-01,TECH-034,Indra I.,Semarang,NOC Core,Preventive Maintenance,Open,Medium,94,,false,INC-2026-00083
JOB-2026-00497,2026-01-19,2026-01,TECH-036,Bima K.,Semarang,Enterprise Support,Corrective Maintenance,Resolved,Medium,87,487,true,INC-2026-00083
JOB-2026-00698,2026-01-19,2026-01,TECH-042,Dewi Q.,Surabaya,Fiber Maintenance,Corrective Maintenance,Closed,High,66,232,false,INC-2026-01899
JOB-2026-00893,2026-01-19,2026-01,TECH-007,Lukman H.,Medan,Fiber Maintenance,Preventive Maintenance,Resolved,Low,179,413,true,
JOB-2026-01097,2026-01-19,2026-01,TECH-034,Citra I.,Denpasar,Enterprise Support,Preventive Maintenance,Resolved,Medium,91,266,true,INC-2026-01354
JOB-2026-01697,2026-01-19,2026-01,TECH-008,Hana I.,Denpasar,NOC Core,Preventive Maintenance,Resolved,Low,151,437,true,
JOB-2026-01744,2026-01-19,2026-01,TECH-002,Lukman C.,Palembang,Field Operations,Installation,Resolved,Medium,73,226,true,
JOB-2026-01763,2026-01-19,2026-01,TECH-023,Kirana X.,Jakarta,Field Operations,Corrective Maintenance,Closed,Medium,102,424,false,
JOB-2026-00109,2026-01-20,2026-01,TECH-058,Fajar G.,Palembang,NOC Core,Site Audit,Resolved,High,32,304,false,
JOB-2026-00239,2026-01-20,2026-01,TECH-047,Bima V.,Denpasar,Enterprise Support,Preventive Maintenance,Closed,Low,174,452,true,INC-2026-00926
JOB-2026-00452,2026-01-20,2026-01,TECH-039,Hana N.,Surabaya,NOC Core,Preventive Maintenance,Closed,High,77,320,true,
JOB-2026-00526,2026-01-20,2026-01,TECH-048,Eka W.,Denpasar,Fiber Maintenance,Preventive Maintenance,Open,Low,215,,true,INC-2026-00926
JOB-2026-00716,2026-01-20,2026-01,TECH-058,Dewi G.,Bandung,Field Operations,Installation,Resolved,Low,234,331,true,INC-2026-00964
JOB-2026-00091,2026-01-21,2026-01,TECH-004,Joko E.,Balikpapan,NOC Core,Corrective Maintenance,Resolved,Low,191,489,true,INC-2026-01855
JOB-2026-00206,2026-01-21,2026-01,TECH-028,Kirana C.,Surabaya,Fiber Maintenance,Site Audit,Resolved,Medium,98,258,true,INC-2026-00254
JOB-2026-00512,2026-01-21,2026-01,TECH-023,Dewi X.,Surabaya,Field Operations,Site Audit,Closed,High,75,129,true,INC-2026-02166
JOB-2026-00108,2026-01-22,2026-01,TECH-015,Hana P.,Bandung,NOC Core,Site Audit,Closed,Critical,39,136,true,
JOB-2026-00486,2026-01-22,2026-01,TECH-016,Indra Q.,Palembang,Fiber Maintenance,Site Audit,Closed,Medium,64,201,false,INC-2026-02112
JOB-2026-00586,2026-01-22,2026-01,TECH-058,Dewi G.,Palembang,Customer Assurance,Preventive Maintenance,Open,Medium,91,,true,INC-2026-02112
JOB-2026-00712,2026-01-22,2026-01,TECH-059,Citra H.,Bandung,Field Operations,Site Audit,Open,Low,207,,false,INC-2026-01973
JOB-2026-00785,2026-01-22,2026-01,TECH-026,Kirana A.,Bandung,NOC Core,Site Audit,Open,Low,206,,false,INC-2026-01973
JOB-2026-00899,2026-01-22,2026-01,TECH-042,Adit Q.,Makassar,Fiber Maintenance,Corrective Maintenance,Closed,Low,215,373,true,INC-2026-01022
JOB-2026-01249,2026-01-22,2026-01,TECH-047,Eka V.,Makassar,Enterprise Support,Corrective Maintenance,Resolved,Low,182,458,true,INC-2026-01022
JOB-2026-01733,2026-01-22,2026-01,TECH-043,Adit R.,Palembang,Customer Assurance,Corrective Maintenance,Closed,Medium,96,345,false,INC-2026-02112
JOB-2026-01770,2026-01-22,2026-01,TECH-050,Hana Y.,Yogyakarta,NOC Core,Site Audit,Resolved,Critical,22,203,false,INC-2026-00680
JOB-2026-00266,2026-01-23,2026-01,TECH-009,Dewi J.,Surabaya,Fiber Maintenance,Installation,Open,Low,154,,true,
JOB-2026-00670,2026-01-23,2026-01,TECH-019,Adit T.,Jakarta,NOC Core,Preventive Maintenance,Resolved,High,38,220,true,INC-2026-02067
JOB-2026-00029,2026-01-24,2026-01,TECH-046,Dewi U.,Surabaya,Fiber Maintenance,Installation,Resolved,Medium,98,350,true,INC-2026-00253
JOB-2026-00189,2026-01-24,2026-01,TECH-055,Citra D.,Balikpapan,Field Operations,Installation,Resolved,Medium,61,263,true,INC-2026-01431
JOB-2026-01120,2026-01-24,2026-01,TECH-031,Dewi F.,Bandung,Fiber Maintenance,Site Audit,Closed,Low,153,458,false,INC-2026-01782
JOB-2026-01174,2026-01-24,2026-01,TECH-001,Lukman B.,Surabaya,Enterprise Support,Installation,In Progress,Low,190,,true,INC-2026-01758
JOB-2026-01317,2026-01-24,2026-01,TECH-010,Gita K.,Surabaya,Customer Assurance,Preventive Maintenance,Resolved,High,65,257,true,
JOB-2026-01409,2026-01-24,2026-01,TECH-021,Joko V.,Yogyakarta,NOC Core,Site Audit,Closed,Low,161,478,true,INC-2026-00020
JOB-2026-00338,2026-01-25,2026-01,TECH-011,Lukman L.,Palembang,Fiber Maintenance,Preventive Maintenance,Open,Low,187,,true,INC-2026-00301
JOB-2026-00503,2026-01-25,2026-01,TECH-018,Hana S.,Bandung,Field Operations,Preventive Maintenance,Resolved,Medium,121,395,true,INC-2026-00827
JOB-2026-00594,2026-01-25,2026-01,TECH-054,Indra C.,Bandung,Field Operations,Site Audit,Closed,Medium,129,347,true,INC-2026-00827
JOB-2026-00877,2026-01-25,2026-01,TECH-031,Bima F.,Bandung,Fiber Maintenance,Preventive Maintenance,Closed,Medium,98,313,true,INC-2026-00827
JOB-2026-00949,2026-01-25,2026-01,TECH-003,Joko D.,Denpasar,Enterprise Support,Installation,Resolved,Low,201,345,false,INC-2026-00165
JOB-2026-01501,2026-01-25,2026-01,TECH-030,Lukman E.,Jakarta,Enterprise Support,Corrective Maintenance,Resolved,Medium,82,162,true,
JOB-2026-01538,2026-01-25,2026-01,TECH-004,Dewi E.,Palembang,Enterprise Support,Corrective Maintenance,Resolved,Low,189,431,true,INC-2026-00301
JOB-2026-01640,2026-01-25,2026-01,TECH-023,Bima X.,Palembang,Enterprise Support,Installation,Resolved,Medium,116,265,true,INC-2026-01078
JOB-2026-00246,2026-01-26,2026-01,TECH-001,Lukman B.,Denpasar,NOC Core,Installation,Closed,Low,131,434,true,INC-2026-00802
JOB-2026-01093,2026-01-26,2026-01,TECH-002,Dewi C.,Bandung,Enterprise Support,Corrective Maintenance,Resolved,Low,186,376,true,INC-2026-01062
JOB-2026-01125,2026-01-26,2026-01,TECH-038,Joko M.,Palembang,Enterprise Support,Installation,Closed,Low,147,326,true,INC-2026-00866
JOB-2026-01308,2026-01-26,2026-01,TECH-052,Lukman A.,Balikpapan,NOC Core,Site Audit,Resolved,Low,147,474,true,INC-2026-01482
JOB-2026-01547,2026-01-26,2026-01,TECH-012,Joko M.,Balikpapan,Field Operations,Installation,Closed,Low,169,412,false,INC-2026-01482
JOB-2026-01554,2026-01-26,2026-01,TECH-034,Gita I.,Denpasar,Customer Assurance,Site Audit,Resolved,Low,175,385,true,INC-2026-00802
JOB-2026-01581,2026-01-26,2026-01,TECH-055,Adit D.,Makassar,Fiber Maintenance,Preventive Maintenance,Closed,High,58,307,true,
JOB-2026-00425,2026-01-27,2026-01,TECH-018,Dewi S.,Palembang,Enterprise Support,Installation,Resolved,Low,177,331,false,
JOB-2026-00017,2026-01-28,2026-01,TECH-027,Joko B.,Palembang,NOC Core,Site Audit,Closed,Medium,119,350,true,INC-2026-00789
JOB-2026-00123,2026-01-28,2026-01,TECH-039,Lukman N.,Makassar,Field Operations,Corrective Maintenance,Resolved,Low,190,450,true,
JOB-2026-00131,2026-01-28,2026-01,TECH-051,Gita Z.,Semarang,Enterprise Support,Preventive Maintenance,Resolved,Low,178,355,true,INC-2026-00139
JOB-2026-01056,2026-01-28,2026-01,TECH-016,Eka Q.,Semarang,Field Operations,Preventive Maintenance,Closed,Low,164,449,true,INC-2026-00139
JOB-2026-01171,2026-01-28,2026-01,TECH-020,Indra U.,Denpasar,Customer Assurance,Preventive Maintenance,Resolved,Low,157,371,true,INC-2026-00461
JOB-2026-01623,2026-01-28,2026-01,TECH-018,Lukman S.,Denpasar,NOC Core,Installation,Open,Low,179,,false,INC-2026-00461
JOB-2026-01625,2026-01-28,2026-01,TECH-014,Dewi O.,Balikpapan,Customer Assurance,Installation,In Progress,Medium,130,,true,INC-2026-01057
JOB-2026-01716,2026-01-28,2026-01,TECH-037,Lukman L.,Surabaya,Enterprise Support,Installation,Open,Medium,90,,true,INC-2026-00393
JOB-2026-00296,2026-01-29,2026-01,TECH-019,Kirana T.,Yogyakarta,Customer Assurance,Corrective Maintenance,Closed,High,28,276,true,INC-2026-01670
JOB-2026-00625,2026-01-29,2026-01,TECH-028,Dewi C.,Yogyakarta,Customer Assurance,Installation,Closed,Medium,106,342,true,
JOB-2026-00646,2026-01-29,2026-01,TECH-023,Adit X.,Medan,Customer Assurance,Preventive Maintenance,Resolved,Medium,119,308,true,INC-2026-00604
JOB-2026-00728,2026-01-29,2026-01,TECH-043,Citra R.,Yogyakarta,NOC Core,Installation,Closed,High,60,225,true,INC-2026-01670
JOB-2026-01005,2026-01-29,2026-01,TECH-011,Fajar L.,Medan,Field Operations,Corrective Maintenance,Open,Low,163,,true,INC-2026-00411
JOB-2026-00020,2026-01-30,2026-01,TECH-017,Indra R.,Jakarta,Fiber Maintenance,Preventive Maintenance,Resolved,Low,172,418,true,INC-2026-00546
JOB-2026-00392,2026-01-30,2026-01,TECH-005,Bima F.,Jakarta,Enterprise Support,Site Audit,Resolved,Low,180,482,true,INC-2026-00607
JOB-2026-00703,2026-01-30,2026-01,TECH-024,Indra Y.,Bandung,Field Operations,Installation,Closed,Critical,18,63,true,
JOB-2026-01033,2026-01-30,2026-01,TECH-031,Indra F.,Yogyakarta,Field Operations,Installation,Resolved,Low,178,457,true,INC-2026-01033
JOB-2026-01053,2026-01-30,2026-01,TECH-053,Fajar B.,Jakarta,Field Operations,Site Audit,Resolved,Low,165,367,true,INC-2026-00546
JOB-2026-01272,2026-01-30,2026-01,TECH-045,Citra T.,Jakarta,Enterprise Support,Corrective Maintenance,Resolved,Low,179,393,true,INC-2026-00546
JOB-2026-01490,2026-01-30,2026-01,TECH-045,Lukman T.,Makassar,Field Operations,Preventive Maintenance,Closed,Medium,108,452,false,INC-2026-00167
JOB-2026-00755,2026-01-31,2026-01,TECH-009,Bima J.,Denpasar,NOC Core,Preventive Maintenance,Resolved,Low,186,431,false,INC-2026-00223
JOB-2026-00805,2026-01-31,2026-01,TECH-001,Bima B.,Balikpapan,Enterprise Support,Corrective Maintenance,In Progress,Low,172,,true,INC-2026-01486
JOB-2026-00995,2026-01-31,2026-01,TECH-049,Citra X.,Yogyakarta,Customer Assurance,Installation,Resolved,Low,192,410,true,INC-2026-00698
JOB-2026-01400,2026-01-31,2026-01,TECH-046,Gita U.,Balikpapan,Field Operations,Installation,Resolved,Low,223,424,true,INC-2026-00605
JOB-2026-01462,2026-01-31,2026-01,TECH-043,Adit R.,Makassar,NOC Core,Preventive Maintenance,Closed,Low,136,336,false,INC-2026-00622
JOB-2026-01545,2026-01-31,2026-01,TECH-002,Indra C.,Surabaya,Customer Assurance,Corrective Maintenance,Resolved,Medium,116,312,false,INC-2026-01228
JOB-2026-01550,2026-01-31,2026-01,TECH-031,Eka F.,Yogyakarta,NOC Core,Site Audit,Resolved,Low,191,513,true,INC-2026-00698
JOB-2026-01060,2026-02-02,2026-02,TECH-040,Indra O.,Jakarta,NOC Core,Preventive Maintenance,In Progress,High,48,,false,INC-2026-02157
JOB-2026-01246,2026-02-02,2026-02,TECH-052,Kirana A.,Makassar,Fiber Maintenance,Preventive Maintenance,Resolved,Medium,109,285,false,INC-2026-00987
JOB-2026-01474,2026-02-02,2026-02,TECH-059,Citra H.,Makassar,Customer Assurance,Preventive Maintenance,Closed,Medium,92,371,true,INC-2026-00123
JOB-2026-00844,2026-02-03,2026-02,TECH-049,Fajar X.,Bandung,Fiber Maintenance,Corrective Maintenance,Closed,Low,185,433,true,
JOB-2026-00860,2026-02-03,2026-02,TECH-018,Gita S.,Semarang,Fiber Maintenance,Preventive Maintenance,Closed,Medium,112,377,true,
JOB-2026-00870,2026-02-03,2026-02,TECH-001,Eka B.,Surabaya,Field Operations,Preventive Maintenance,Resolved,Critical,18,24,false,INC-2026-01045
JOB-2026-00871,2026-02-03,2026-02,TECH-033,Citra H.,Jakarta,Fiber Maintenance,Installation,Resolved,Low,167,383,true,
JOB-2026-00950,2026-02-03,2026-02,TECH-022,Hana W.,Surabaya,Enterprise Support,Corrective Maintenance,Resolved,Critical,22,204,true,INC-2026-01045
JOB-2026-01667,2026-02-03,2026-02,TECH-010,Kirana K.,Yogyakarta,NOC Core,Site Audit,Resolved,Medium,82,300,true,INC-2026-01952
JOB-2026-01759,2026-02-03,2026-02,TECH-058,Adit G.,Medan,Enterprise Support,Preventive Maintenance,Closed,High,53,181,false,INC-2026-00204
JOB-2026-00169,2026-02-04,2026-02,TECH-004,Gita E.,Jakarta,Enterprise Support,Site Audit,Closed,Low,176,474,true,
JOB-2026-00324,2026-02-04,2026-02,TECH-020,Lukman U.,Medan,Fiber Maintenance,Installation,Closed,High,59,291,false,INC-2026-00968
JOB-2026-01085,2026-02-04,2026-02,TECH-018,Citra S.,Medan,Field Operations,Installation,Closed,High,37,169,false,INC-2026-00968
JOB-2026-00115,2026-02-05,2026-02,TECH-044,Fajar S.,Medan,NOC Core,Preventive Maintenance,In Progress,High,34,,false,INC-2026-01117
JOB-2026-00543,2026-02-05,2026-02,TECH-004,Gita E.,Makassar,Customer Assurance,Preventive Maintenance,Resolved,Low,169,402,true,INC-2026-02012
JOB-2026-00575,2026-02-05,2026-02,TECH-019,Gita T.,Palembang,NOC Core,Site Audit,Resolved,Medium,95,243,true,INC-2026-01177
JOB-2026-00981,2026-02-05,2026-02,TECH-045,Citra T.,Balikpapan,Fiber Maintenance,Corrective Maintenance,Resolved,Medium,105,304,true,INC-2026-02161
JOB-2026-01204,2026-02-05,2026-02,TECH-022,Gita W.,Semarang,Field Operations,Preventive Maintenance,Closed,High,61,172,false,INC-2026-01103
JOB-2026-01326,2026-02-05,2026-02,TECH-023,Gita X.,Makassar,Customer Assurance,Preventive Maintenance,Closed,Low,166,431,true,INC-2026-02012
JOB-2026-00044,2026-02-06,2026-02,TECH-026,Fajar A.,Bandung,Field Operations,Site Audit,In Progress,Medium,103,,true,
JOB-2026-00219,2026-02-06,2026-02,TECH-026,Adit A.,Bandung,Field Operations,Preventive Maintenance,Resolved,Medium,137,252,false,INC-2026-00792
JOB-2026-00557,2026-02-06,2026-02,TECH-014,Hana O.,Semarang,Field Operations,Site Audit,Resolved,Critical,46,155,true,
JOB-2026-01553,2026-02-06,2026-02,TECH-053,Fajar B.,Palembang,Fiber Maintenance,Preventive Maintenance,Resolved,Medium,91,383,true,
JOB-2026-00891,2026-02-07,2026-02,TECH-026,Hana A.,Denpasar,Fiber Maintenance,Installation,Resolved,High,26,284,true,
JOB-2026-00912,2026-02-07,2026-02,TECH-047,Eka V.,Balikpapan,Enterprise Support,Site Audit,Closed,High,60,214,true,INC-2026-01180
JOB-2026-01721,2026-02-07,2026-02,TECH-048,Dewi W.,Balikpapan,Field Operations,Preventive Maintenance,Open,High,80,,true,INC-2026-01180
JOB-2026-00342,2026-02-08,2026-02,TECH-037,Eka L.,Makassar,NOC Core,Preventive Maintenance,Closed,High,26,170,true,
JOB-2026-00404,2026-02-08,2026-02,TECH-026,Dewi A.,Bandung,Enterprise Support,Installation,Closed,Low,217,431,false,INC-2026-00963
JOB-2026-01203,2026-02-08,2026-02,TECH-044,Indra S.,Jakarta,Customer Assurance,Preventive Maintenance,Closed,Medium,111,239,true,INC-2026-01808
JOB-2026-01372,2026-02-08,2026-02,TECH-026,Kirana A.,Palembang,Customer Assurance,Installation,Resolved,Medium,119,382,true,
JOB-2026-01398,2026-02-08,2026-02,TECH-026,Adit A.,Medan,Enterprise Support,Site Audit,Resolved,Medium,88,322,true,
